company_name,contact_name,email,phone,area,website,type,notes
Estate Sales of South Florida,Tashika Quevedo,tashika@estatesalesofsouthflorida.com,(561) 667-0552,West Palm Beach,estatesalesofsouthflorida.com,estate_sale,"PBC + Broward + Martin County"
The Estate Settlers,,info@theestatesettlers.com,(561) 207-7654,Boca Raton,theestatesettlers.com,estate_sale,"Family-owned, estate liquidation + property cleanouts + move coordination, PBC + North Broward"
DejaVu Estate Liquidators,Susan Bender,DejaVuAuctions@gmail.com,(561) 225-1950,Palm Beach Gardens,dejavuestateliquidators.com,estate_sale,"Award-winning showroom, 31 Yelp reviews, auctions + liquidation"
B & F Estate Sales (Staskowski Team),,info@estatesalesfl.net,(954) 401-2222,Fort Lauderdale,estatesalesfl.net,estate_sale,"Broward + Palm Beach + Dade, antique + estate sales"
Estate Sales By Ellyn,,,( 561) 570-7666,Fort Lauderdale,ellynestatesales.com,estate_sale,"Serves Fort Lauderdale area"
A Hint of Vintage LLC,,,(305) 951-7349,Fort Lauderdale,ahintofvintage.net,estate_sale,"Estate sale specialist, active 2024-2026"
Absolute Estate Sales & Appraisals,,,(954) 881-6216,Broward,myabsoluteestatesales.net,estate_sale,"Estate sales + appraisals"
Back In Time Ventures,,,(954) 830-8130,Broward,,estate_sale,"Broward County estate sales"
Art Lovers Anonymous,,,(954) 649-5645,Broward,,estate_sale,"Broward County"
Florida Estate Sales & Auctions,,,,(Palm Beach),floridaestatesales.net,estate_sale,"Licensed & bonded, Palm Beach"
Jami L. Huber P.A.,Jami Huber,,(561) 283-4770,West Palm Beach,jamihuberlaw.com,probate_attorney,"Probate + trust admin + guardianship"
Kitroser Lewis & Mighdoll,,,(561) 721-0600,Palm Beach,kitroserlaw.com,probate_attorney,"Estate planning + elder law + probate + guardianship"
Law Office of Nicole C. Morris,Nicole Morris,,(561) 659-7790,Palm Beach Gardens,nmorrislaw.com,probate_attorney,"Estate planning + probate"
Pankauski Law Firm,,,( 561) 855-0342,West Palm Beach,pankauskilawfirm.com,probate_attorney,"Trust + estate disputes"
Doane & Doane P.A.,,,,West Palm Beach,doaneanddoane.com,probate_attorney,"Probate + estate planning, long-established"
Law Offices of Larry E. Bray,Larry Bray,,(561) 571-8970,Palm Beach County,braylawoffices.com,probate_attorney,"30+ years in PBC"
