first_name,company,email,phone,area,address,type,notes
,PBG Junk Removal,pbgjunkremoval@gmail.com,(561) 264-7383,Palm Beach Gardens,"Palm Beach Gardens, FL",independent,Small local operator
Jack,Jack's Junk Removal,contact@jacksjunkremoval.com,(954) 918-5865,Fort Lauderdale,"Fort Lauderdale, FL",independent,Family-owned 18 years - Jack and Jackie
Ryan,Junk Force South FL,ryan@junkforcesouthfl.com,(561) 913-2023,West Palm Beach,"537 S Sequoia Dr, West Palm Beach, FL 33409",independent,Owner-operated premium service
,Movin' Junk,movinjunk@gmail.com,(561) 635-6654,Lantana,"1438 W Broward St, Lantana, FL 33462",independent,Palm Beach County
,All Out Junk Removal,info@alloutjunkfl.com,(866) 889-5865,West Palm Beach,"120 S Olive Ave, West Palm Beach, FL 33401",independent,PBC and Martin County
,Nick's Junk Removal,contact@nicksjunk.com,(954) 543-1804,Fort Lauderdale,"3901 W Broward Blvd, Fort Lauderdale, FL 33312",independent,Family-owned Port St Lucie to Miami
,Junk Squad Removal,info@junksquadremoval.com,(954) 852-2122,Fort Lauderdale,"218 SW 29th St, Fort Lauderdale, FL 33315",independent,Firefighter-owned Broward and PBC
Jose,Junk Monkeys Hauling,junkmonkeysremoval@gmail.com,(305) 479-9541,Hollywood,"Hollywood/Broward County, FL",independent,Owner Jose Lozano
J,All American Junk Removal,JTendler@allamericanjunkremoval.com,(954) 254-6782,Pompano Beach,"801 S Dixie Hwy East, Pompano Beach, FL 33060",independent,J Tendler - Broward
Brian,Palm Beach County Junk Removal,info@palmbeachcountyjunkremoval.com,(610) 883-2577,Wellington,"3673 Cypress Lake Dr, Wellington, FL",independent,Brian Holdsworth - 24hr service
,Dynamic Removal Services,quote@dynamicremovalservices.com,(786) 803-7944,Plantation,"1250 SW 59th Terrace, Plantation, FL 33317",independent,Family-owned 15+ years
,Junior's Junk Removal,[email protected],(954) 534-3425,Broward County,"Broward County, FL",independent,Licensed and insured
,King Moving & Delivery,allfloridamoving@gmail.com,(954) 494-6467,Hollywood,"5758 Johnson St, Hollywood, FL 33021",independent,Also does moving - Broward
Tom,Veteran Pride Hauling,Patriotsworkingforyou@gmail.com,(727) 240-6256,New Port Richey,"New Port Richey, FL",independent,Veteran-owned - Tom - slightly outside area
,Hello Junk Removal,,(561) 777-7779,West Palm Beach,"West Palm Beach, FL",independent,No email found - phone only
,Power Junk Removal,,(561) 987-2400,West Palm Beach,"West Palm Beach, FL",independent,No email found - 4 phone numbers
Michael,XS Trash,,(954) 775-4717,Pompano Beach,"620 NE 34th St, Pompano Beach, FL 33064",independent,Michael Jaward founder - since 2009 - no email
,West Palm Beach Junk Removal,,(561) 559-5762,West Palm Beach,"West Palm Beach, FL",independent,No email found
,Florida Strong Hauling,,(954) 271-4601,Fort Lauderdale,"Fort Lauderdale, FL",independent,Broward and Miami-Dade - no email
,Evergreen Junk Removal,,(754) 218-5014,South Florida,"South Florida",independent,No email found
Cesar,Sunshine State Removal,info@sunshineremoval.com,(954) 247-1399,Sunrise,"1332 SW 151st Ave, Sunrise, FL 33326",independent,Veteran-owned - Cesar and Lynzee - Broward/Miami-Dade/PBC
Bob,Doctor Junk FL,doctorjunkphd@gmail.com,(954) 644-3296,Hialeah,"Hialeah, FL 33018",independent,Family-owned 10+ years - Bob - by appointment
,Hauling & Junk Removal LLC,info@haulingandjunkremovalllc.com,(954) 658-7816,Port St Lucie,"Treasure Coast, FL",independent,PSL Stuart Jupiter WPB Vero Beach
Justin,Junk Trust,justin@junktrust.com,(772) 301-3052,Port St Lucie,"1722 SE Port St Lucie Blvd, Port St Lucie, FL 34952",independent,Justin - eco-friendly - PSL Stuart Jupiter
,St Lucie Junk Removal,stluciejunkremoval@gmail.com,(772) 222-7057,Port St Lucie,"5801 Summerlin Rd, Port St Lucie, FL 34987",independent,Treasure Coast - starts at $95
,Junk-IT,info@junk5.com,(844) 747-3377,Boca Raton,"Boca Raton, FL",independent,Boynton Beach and Boca Raton
,New Age Junk Removal,,(754) 231-1144,Hollywood,"Hollywood, FL",independent,No email - phone/text only
,Irishman Junk Removal,,(561) 367-2523,West Palm Beach,"West Palm Beach, FL",independent,Wellington Royal Palm Lake Worth - no email
,Haul Away 561,,(561) 247-1180,Wellington,"Palm Beach County, FL",independent,Family-operated PBC - no email - @HaulAway561
,305 Junk Removal,,(305) 905-6551,Miami,"Miami, FL",independent,Local Miami - Doral Kendall Hialeah - no email
,Mark Anthony Hauling,,(305) 707-0125,Miami,"Miami, FL",independent,Hialeah Miami Gardens Hollywood Kendall - no email
,Junk Shot,,(561) 281-8101,West Palm Beach,"West Palm Beach, FL",independent,Marina Tonella owner - no email
,A&J Removal Services,,(772) 500-5865,Port St Lucie,"Port Saint Lucie, FL 34952",independent,St Lucie and Martin County - no email
,Precision Disposal,,(772) 281-5027,Treasure Coast,"Treasure Coast, FL",independent,Jupiter Stuart PSL - no email
,Done Rite Hauling,,(727) 365-7892,Broward/Miami,"South Florida",independent,Family-owned dumpster rentals - no email
,Lucie Bros Junk Removal,,n/a,Port St Lucie,"Port St Lucie, FL",independent,Min $75 - no contact found
,Pembroke Pines Junk Removal,jeddiamond1@gmail.com,(754) 704-4487,Pembroke Pines,"NW 106th Ave, Pembroke Pines, FL 33025",independent,Broward PBC Miami-Dade
,Battle's Junk Removal,battlesjunkremoval@gmail.com,(786) 625-6662,Miami,"Miami, FL",independent,24/7 - Cutler Bay Coral Gables Key Largo Miramar Pinecrest
,Junk In Da Truck,Admin@junkindatruck.com,(772) 494-5048,Vero Beach,"Vero Beach, FL 32960",independent,Treasure Coast + Space Coast - Indian River Brevard St Lucie
,Sunrise City Junk,sunrisecityjunk@gmail.com,(772) 206-0304,Fort Pierce,"Fort Pierce, FL",independent,Family-owned - Fort Pierce area
,Vero Beach Junk,verobeachjunk@gmail.com,(772) 202-0773,Vero Beach,"Vero Beach, FL",independent,Indian River County
Kenny,Vero Beach Junk Busters,support@junkremovalservices.info,(772) 268-3097,Vero Beach,"Vero Beach, FL",independent,Kenny G - ex-restaurant - solo operator since 2023
,Junk GoGo,hello@junkgogo.com,(305) 907-7030,Miami,"8051 SW 138th Ct, Miami, FL 33183",independent,Big social presence - TikTok FB IG YouTube
,Brooks Moving & Hauling,brooksmovingandhauling@gmail.com,(561) 891-0456,Jupiter,"1095 Jupiter Park Dr Suite #4, Jupiter, FL 33458",independent,Also WPB location - moving + hauling - DOT licensed
,Green Rhino Junk Removal,,(954) 993-6064,Pembroke Pines,"Pembroke Pines, FL",independent,Broward County - no email
,Done For Less,,(954) 257-9868,Coral Springs,"Coral Springs, FL 33071",independent,Also Brooklyn NY location - no email
,Guthrie Hauling Co,,(561) 865-9776,Delray Beach,"1730 S Federal Hwy Pmb 191, Delray Beach, FL 33483",independent,No email
,DC Bobcat and Hauling,,(561) 963-1199,Lake Worth,"2 Springdale Rd, Lake Worth, FL 33467",independent,No email
,Drew Robinson Trash Hauling,,(561) 932-5271,Lake Worth,"4395 Naomi Dr, Lake Worth, FL 33463",independent,No email
,ND Junk Removal,,(954) 335-7452,Fort Lauderdale,"Fort Lauderdale, FL",independent,Broward Miami-Dade PBC Fort Myers - no email
,Haul Away Junk Removal,,(305) 504-5285,Miami-Dade,"Miami-Dade, FL",independent,Family-owned Kendall Doral Homestead Cutler Bay - no email
,New Age Junk Removal,,(754) 231-1144,Hollywood,"Hollywood, FL",independent,FTL Hollywood Pembroke Pines Davie Miramar - no email
,On-Call Junk Removal,,(772) 258-4452,Fort Pierce,"Fort Pierce, FL",independent,PSL Vero Sebastian - no email
Mark,ECS Junk Removal,mark@estatecleanupmiami.com,(786) 457-3981,Miami,"Miami, FL",independent,Estate cleanup specialist - 10+ years - also damien@estatecleanupmiami.com
,Affordable Junk Removal Miami,support@affordablejunkremovalmiami.com,,Miami,"Miami, FL",independent,North Miami Aventura area
Samson,Dump Squad Junk Removal,srubina@gmail.com,(954) 833-0220,Boca Raton,"3921 SW 47th Ave Ste 1009, Davie, FL 33314",independent,Samson Rubinov - Boca resident - also (954) 536-7947
Gilbert,JunkRush,,(561) 767-8527,Boca Raton,"Boca Raton, FL",independent,Gilbert Castro founder - est 2015 - no email
,Junk Boss,,(561) 802-0020,Boca Raton,"Boca Raton, FL",independent,Community-focused independent - no email
Gusmel,Franco Brothers LLC,,(786) 281-6468,Homestead,"13105 SW 263rd Terrace, Homestead, FL 33032",independent,Also tree service and pressure washing - 24/7
