company_name,contact_name,email,phone,area,website,notes
Good Greek Moving & Storage,,,(561) 683-1313,West Palm Beach + Fort Lauderdale,greekmoving.com,"455 Yelp reviews, HQ in WPB, multiple SFL locations, official mover of FL Panthers"
Meehan's Family Moving,,,(561) 264-0493,West Palm Beach,meehansfamilymoving.com,"Family-owned, local + long-distance, residential focused"
Easy Florida Moving,,,(786) 338-1008,Palm Beach County,easyfloridamoving.com,"Top rated, local + long-distance, PBC specialist"
Solomon and Sons Relocation,,,,South Florida,solomonmoving.com,"Independent family-owned, nationwide, SFL-based"
Allied Van Lines (Deerfield Beach),,,(754) 203-0821,Deerfield Beach,allied.com,"National chain, local agent at 1701 Green Rd Deerfield Beach"
Bekins of South Florida,,,,Palm Beach County,bekinssf.com,"Agent of Bekins Van Lines, local PBC moves"
Roadway Moving,,,,West Palm Beach,roadwaymoving.com,"NYC-based expanded to FL, luxury/white-glove moves"
SS Relocation,,,,West Palm Beach,ssrelocation.com,"Local + long-distance WPB movers"
JMK Moving,,,,Broward County,,,"Local Broward movers"
Two Men and a Truck (SFL),,,,South Florida,twomenandatruck.com,"Franchise, high volume, may refer overflow"
College Hunks Hauling Junk (SFL),,,,South Florida,collegehunkshaulingjunk.com,"Competitor but refers overflow junk-only jobs"
