first_name,company,email,phone,area,address,type,notes
,PBG Junk Removal,pbgjunkremoval@gmail.com,(561) 264-7383,Palm Beach Gardens,"Palm Beach Gardens, FL",independent,Small local operator
Jack,Jack's Junk Removal,contact@jacksjunkremoval.com,(954) 918-5865,Fort Lauderdale,"Fort Lauderdale, FL",independent,Family-owned 18 years - Jack and Jackie
Ryan,Junk Force South FL,ryan@junkforcesouthfl.com,(561) 913-2023,West Palm Beach,"537 S Sequoia Dr, West Palm Beach, FL 33409",independent,Owner-operated premium service
,Movin' Junk,movinjunk@gmail.com,(561) 635-6654,Lantana,"1438 W Broward St, Lantana, FL 33462",independent,Palm Beach County
,All Out Junk Removal,info@alloutjunkfl.com,(866) 889-5865,West Palm Beach,"120 S Olive Ave, West Palm Beach, FL 33401",independent,PBC and Martin County
,Nick's Junk Removal,contact@nicksjunk.com,(954) 543-1804,Fort Lauderdale,"3901 W Broward Blvd, Fort Lauderdale, FL 33312",independent,Family-owned Port St Lucie to Miami
,Junk Squad Removal,info@junksquadremoval.com,(954) 852-2122,Fort Lauderdale,"218 SW 29th St, Fort Lauderdale, FL 33315",independent,Firefighter-owned Broward and PBC
Jose,Junk Monkeys Hauling,junkmonkeysremoval@gmail.com,(305) 479-9541,Hollywood,"Hollywood/Broward County, FL",independent,Owner Jose Lozano
J,All American Junk Removal,JTendler@allamericanjunkremoval.com,(954) 254-6782,Pompano Beach,"801 S Dixie Hwy East, Pompano Beach, FL 33060",independent,J Tendler - Broward
Brian,Palm Beach County Junk Removal,info@palmbeachcountyjunkremoval.com,(610) 883-2577,Wellington,"3673 Cypress Lake Dr, Wellington, FL",independent,Brian Holdsworth - 24hr service
,Dynamic Removal Services,quote@dynamicremovalservices.com,(786) 803-7944,Plantation,"1250 SW 59th Terrace, Plantation, FL 33317",independent,Family-owned 15+ years
,King Moving & Delivery,allfloridamoving@gmail.com,(954) 494-6467,Hollywood,"5758 Johnson St, Hollywood, FL 33021",independent,Also does moving - Broward
Tom,Veteran Pride Hauling,Patriotsworkingforyou@gmail.com,(727) 240-6256,New Port Richey,"New Port Richey, FL",independent,Veteran-owned - Tom - slightly outside area
Cesar,Sunshine State Removal,info@sunshineremoval.com,(954) 247-1399,Sunrise,"1332 SW 151st Ave, Sunrise, FL 33326",independent,Veteran-owned - Cesar and Lynzee - Broward/Miami-Dade/PBC
Bob,Doctor Junk FL,doctorjunkphd@gmail.com,(954) 644-3296,Hialeah,"Hialeah, FL 33018",independent,Family-owned 10+ years - Bob - by appointment
,Hauling & Junk Removal LLC,info@haulingandjunkremovalllc.com,(954) 658-7816,Port St Lucie,"Treasure Coast, FL",independent,PSL Stuart Jupiter WPB Vero Beach
Justin,Junk Trust,justin@junktrust.com,(772) 301-3052,Port St Lucie,"1722 SE Port St Lucie Blvd, Port St Lucie, FL 34952",independent,Justin - eco-friendly - PSL Stuart Jupiter
,St Lucie Junk Removal,stluciejunkremoval@gmail.com,(772) 222-7057,Port St Lucie,"5801 Summerlin Rd, Port St Lucie, FL 34987",independent,Treasure Coast - starts at $95
,Junk-IT,info@junk5.com,(844) 747-3377,Boca Raton,"Boca Raton, FL",independent,Boynton Beach and Boca Raton
,Pembroke Pines Junk Removal,jeddiamond1@gmail.com,(754) 704-4487,Pembroke Pines,"NW 106th Ave, Pembroke Pines, FL 33025",independent,Broward PBC Miami-Dade
,Battle's Junk Removal,battlesjunkremoval@gmail.com,(786) 625-6662,Miami,"Miami, FL",independent,24/7 - Cutler Bay Coral Gables Key Largo Miramar Pinecrest
,Junk In Da Truck,Admin@junkindatruck.com,(772) 494-5048,Vero Beach,"Vero Beach, FL 32960",independent,Treasure Coast + Space Coast - Indian River Brevard St Lucie
,Sunrise City Junk,sunrisecityjunk@gmail.com,(772) 206-0304,Fort Pierce,"Fort Pierce, FL",independent,Family-owned - Fort Pierce area
,Vero Beach Junk,verobeachjunk@gmail.com,(772) 202-0773,Vero Beach,"Vero Beach, FL",independent,Indian River County
Kenny,Vero Beach Junk Busters,support@junkremovalservices.info,(772) 268-3097,Vero Beach,"Vero Beach, FL",independent,Kenny G - ex-restaurant - solo operator since 2023
,Junk GoGo,hello@junkgogo.com,(305) 907-7030,Miami,"8051 SW 138th Ct, Miami, FL 33183",independent,Big social presence - TikTok FB IG YouTube
,Brooks Moving & Hauling,brooksmovingandhauling@gmail.com,(561) 891-0456,Jupiter,"1095 Jupiter Park Dr Suite #4, Jupiter, FL 33458",independent,Also WPB location - moving + hauling - DOT licensed
Mark,ECS Junk Removal,mark@estatecleanupmiami.com,(786) 457-3981,Miami,"Miami, FL",independent,Estate cleanup specialist - 10+ years - also damien@estatecleanupmiami.com
,Affordable Junk Removal Miami,support@affordablejunkremovalmiami.com,,Miami,"Miami, FL",independent,North Miami Aventura area
Samson,Dump Squad Junk Removal,srubina@gmail.com,(954) 833-0220,Boca Raton,"3921 SW 47th Ave Ste 1009, Davie, FL 33314",independent,Samson Rubinov - Boca resident - also (954) 536-7947
,Clear Waste Solutions,clearwastesolutions@gmail.com,(786) 599-1924,Miami-Dade,"Miami, FL",independent,Foreclosure cleanouts + construction debris + dumpster rental
Pedro,PAL Demolition,pedro@paldemolition.com,(786) 328-3717,Miami,"1154 W 35 ST, Miami, FL 33142",demolition,Family-owned demolition + debris removal - also (786) 991-6164
,Thunder Demolition,Info@thunderdemolition.com,(305) 757-9444,Miami,"Miami/Broward/PBC",demolition,Founded 1994 - licensed bonded insured
David,David G Services,info@davigservices.com,(786) 534-9229,Miami,"2540 NW 74th St, Miami, FL 33147",independent,Construction debris + bulk trash + recycling
Bonnie,B&F Estate Sales,bonnie@estatesalesfl.net,(954) 401-2222,Fort Lauderdale,"Broward County, FL",estate cleanout,Staskowski Team - 30+ years - estate liquidation
,SF Free Appliance Removal,info@sffreeapplianceremoval.com,(786) 538-9220,Oakland Park,"Oakland Park, FL",appliance,FREE same-day appliance pickup - eco-friendly recycling
Nathan,Florida Emergency Cleaning,info@floridaemergencycleaning.com,(772) 486-4100,Treasure Coast,"Treasure Coast, FL",foreclosure cleanout,Nathan Todd CEO - 20+ years - 24/7 - REO + biohazard + hoarding
Jorge,Bee Boyz Contractors,beeboyzinc@gmail.com,(954) 483-5533,Fort Lauderdale,"Fort Lauderdale, FL",foreclosure cleanout,Jorge Valencia - 30+ years - foreclosure restoration + debris
,South Florida Junk Removal,sfloridajunk@gmail.com,(954) 614-4919,Fort Lauderdale,"Fort Lauderdale, FL 33308",independent,Homes and businesses in FTL area
,G's Junk Removal,gsjunkllc@gmail.com,(321) 616-7331,Central Florida,"Central FL",independent,Family-owned - foreclosure + construction + estate cleanouts
